Settlement ,URI,URI 2,Museum ,Museum number,Type,Material ,Technique,Gender,Part of,shape,Iconography,Clothes ,Culture Museum Atribution,Date,Period,Heigh ,width,Depth ,Length,Diameter ,weight,Inscription,Language,Find spot,Description,Hair,Function,Reasoned classification,Bibliograhy ,Pleiades URI,URI 3
Italica,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MASE&musid=17&ninv=CE00150-1&volver=portal&obje=&titu=&auto=&mate=&icon=&proc=italica&tipoBusqueda=avanzada&k=null&lng=es,Museo aruqeológico de Sevilla ,CE00150-1,portrait,marble,sculpted,male,,head,Alexander the great,,Roman,117-138 CE,Hadrian,37,"28,5","29,5",,,,,,"Foro de Itálica, Santiponce = Itálica (Santiponce, Vega del Guadalquivir (comarca)) 
Excavación, 1839-1840, Cortina y Roperto, Ivo de la","Male head with idealized features, turned in a slight foreshortening to the left. It maintains an expression of yearning and sublimation, and has an exuberant mane of curly strands, tied by a ribbon that knots behind. The lower end of the neck indicates that it was part of a larger statue",curly ,Decorative,"This magnificent head of Alexander was recovered in 1839 by the archaeologist Ivo de la Cortina in the Foro de Itálica. The piece became part of the Section of Antiquities of the Museum of Paintings of the city and in 1880 it entered the Museum through the Commission of Monuments. R. Thouvenot made her known as the head of Apollo or perhaps of Dionysus, but it was Antonio Garcia and Bellido who identified her with Alexandros, the Macedonian hero. It is the most unique image of the character, for its extraordinary beauty and originality. It represents the young and beautiful hero, with the hair raised on the forehead (anastolé) and the tape that holds it (taenia), as an attribute of royalty. Its technique and formal composition refer to the style of the second century, in line with other known portraits of the character, although with slight variations in the composition of the face and hair, which make the piece of Italy an exceptional model. The gentle turn of the head, its delicate features and the exuberant aureole of curls approach it to other museums, but the anatomical details and its dreamy expression determine its particular iconography, clearly reminiscent of Helios and Antinous (León, 1995).
Its function is inserted in the sculptural program developed in the Adriaan period in the city, following an ideological constant tending to link the Colony with the Genius of Rome, and with the heroic and conquering feeling of its native emperors, Trajan and Adriano (Camacho, 2014 )","CAMACHO MORENO, Manuel. ""Alejandro Magno"". En: López Rodríguez, José Ramón (ed.); Beltrán Fortes, José (ed.). \i1 Itálica, Cien Años, Cien Piezas. Conmemoración del Centenario de la Declaración de las Ruinas de Itálica como Monumento Nacional.\i0 Sevilla: Junta de Andalucía. Consejería de Educación, Cultura y Deporte, 2014. P. 117, nº 47. 

FERNÁNDEZ GÓMEZ, Fernando. ""Retrato de Alejandro Magno"". \i1 Fortunatae Insulae, Canarias y el Mediterráneo.\i0 Tenerife: Organismo Autónomo de Museos y Centros del Cabildo de Tenerife, 2004. P. 245. 

GARCÍA Y BELLIDO, Antonio. \i1 Catálogo de los retratos romanos. Museo Arqueológico de Sevilla.\i0 Madrid: 1951. P. 5-6, nº 1. 

GARCÍA Y BELLIDO, Antonio. \i1 Colonia Aelia Augusta Itálica.\i0 Madrid: CSIC, 1960. P. 138, nº 1, lám. XX. 

GARCÍA Y BELLIDO, Antonio. \i1 Esculturas romanas de España y Portugal.\i0 Madrid: CSIC, 1949. P. 8, nº 1, lám. 1. 

LEÓN ALONSO, Pilar. \i1 Esculturas de Itálica.\i0 Sevilla: Empresa Pública de Gestión de Programas Culturales, 1995. P. 140-143, n º 46. 

LEÓN DEL RÍO, María Belén. \i1 Estudio de las técnicas escultóricas romanas. Colección del Museo Arqueológico de Sevilla.\i0 Sevilla: Fundación de Cultura Andaluza, 2005. P. 108, fig. 99. 

THOUVENOT, Raymond. \i1 Essai sur la province romaine de Bétique.\i0 Paris: E. de Boccard, 1973. P. 581. 

TRILLMICH, Walter; HAUSCHILD, Theodor; BLECH, Michael. \i1 Hispania Antiqua. Denkmäler der Römerzeit.\i0 Mainz am Rhein: Philipp von Zabern, 1993. P. 284-385, taf. 181. 

VENTURA MARTÍNEZ, Juan José. ""Cabeza de Alejandro"". \i1 Hispania, el legado de Roma.\i0 Zaragoza: Ministerio de Educación y Cultura, 1998. P. 545, ficha nº 164.",https://pleiades.stoa.org/places/256231,
Italica,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MASE&musid=17&ninv=CE00152&volver=portal&obje=&titu=&auto=&mate=&icon=&proc=italica&tipoBusqueda=avanzada&k=null&lng=es,Museo aruqeológico de Sevilla ,CE00152,portrait,marble,sculpted,male,,head,Galba ,leaves crown ,Roman,69-96 CE,Flavian,62,,,,,,,,"Foro de Itálica, Santiponce = Itálica (Santiponce, Vega del Guadalquivir (comarca)) 
Excavación, 1839-1840, Cortina y Roperto, Ivo de la","Male head of colossal type, whose elaboration has focused on the front: factions, ears, neck and front of the crown. It represents an adult man, with strong features and solemn expression. Keeps the mouth closed, with thin lips, well-shaped nose and large eyes, with a frown. The back is smoothed",curly with a crown ,Propaganda ,"This head was recovered in the Italica Forum area during the excavations of Ivo de la Cortina in 1939, and there is no unanimity among the specialists regarding its identification. The most defended options have been Vespasiano or Galba, although there is some consensus for the latter. The characteristics of the work indicate that it is a reworked portrait, coeval to the process of monumentalization of the city in flavian times. Its production is attributed to a local workshop, and its resemblance to other portraits of Munigua (Villanueva del Río and Minas) and Écija has been pointed out. His monumental features and the headdress with holm oak wreath, alluding to his status as general in chief, indicate that he must have occupied a prominent place in this area of the city","BERGMANN, Marianne; ZANKER, Paul. ""Damnatio memoriae. Umgearbeitete Nero und Domitiansporträts. Zur Ikonographie der flavischen Kaiser und des Nerva"". \i1 Jahrbuch des Deutschen Archäologischen Instituts.\i0 1981, 96, p. 317-412. P. 342. 

BLANCO FREIJEIRO, Antonio. \i1 Historia del Arte Hispánico I. 2. La Antiguedad.\i0 Madrid: Alhambra, 1981. P. 127, 134. 

DALTROP, Georg; et álii. \i1 Die Flavier. Vespasian, Titus, Domitian, Nerva, Julia Titi, Domitilla, Domitia.\i0 Berlín: Gebrüder Mann, 1966. P. 82, 114; - (Römische Herrscherbild; 2-1). 

FABRICOTTI, Emanuela. \i1 Galba.\i0 Roma: 1976. P. 63, lám. XII. 

FERNÁNDEZ CHICARRO Y DE DIOS, Concepción; FERNÁNDEZ GÓMEZ, Fernando. \i1 Catálogo del Museo Arqueológico de Sevilla (II). Salas de Arqueologia Romana y Medieval.\i0 Madrid: Ministerio de Cultura, 1980. P. 106. nº 14, lám. XXXV. 

GARCÍA Y BELLIDO, Antonio. \i1 Catálogo de los retratos romanos. Museo Arqueológico de Sevilla.\i0 Madrid: 1951. P. 12-14, nº 9. 

GARCÍA Y BELLIDO, Antonio. \i1 Colonia Aelia Augusta Itálica.\i0 Madrid: CSIC, 1960. P. 141-142, nº 7, lám. XXIV. 

GARCÍA Y BELLIDO, Antonio. \i1 Esculturas romanas de España y Portugal.\i0 Madrid: CSIC, 1949. P. 30-31, nº 19, lám. 19. 

GJÖDESEN, M. ""De tre Kejsere litteraere og Plastike Portraetter"". \i1 Meddelelser fra Ny Carlsberg Glyptotek.\i0 1959, 16, p. 1-46. P. 13. 

LEÓN ALONSO, Pilar. \i1 Esculturas de Itálica.\i0 Sevilla: Empresa Pública de Gestión de Programas Culturales, 1995. P. 78-79, nº 21. 

LEÓN DEL RÍO, María Belén. \i1 Estudio de las técnicas escultóricas romanas. Colección del Museo Arqueológico de Sevilla.\i0 Sevilla: Fundación de Cultura Andaluza, 2005. P. 106, fig. 50. 

MARTÍNEZ MORA, Juan Bosco. ""Retrato monumental de emperador"". En: López Rodríguez, José Ramón (ed.); Beltrán Fortes, José (ed.). \i1 Itálica, Cien Años, Cien Piezas. Conmemoración del Centenario de la Declaración de las Ruinas de Itálica como Monumento Nacional.\i0 Sevilla: Junta de Andalucía. Consejería de Educación, Cultura y Deporte, 2014. P. 67, nº 22. 

POULSEN, Vagn. \i1 Les portraits romain II.\i0 Copenhague: 1974. P. 39. 

STUCHI, Sandro. \i1 Studi in Onore di Aristide Calderini e Roberto Paribeni.\i0 Milán: 1950. P. 590. 

ZANKER, Paul. \i1 Provinzielle Kaiserporträts.\i0 München: Bayerischen Akademie der Wissenschaften, 1983. P. 36, nº 122.",https://pleiades.stoa.org/places/256231,
Italica,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MASE&musid=17&ninv=CE00165&volver=portal&obje=&titu=&auto=&mate=&icon=&proc=italica&tipoBusqueda=avanzada&k=null&lng=es,Museo aruqeológico de Sevilla ,CE00165,sculpture,marble,sculpted,male,body,hand,Iuppiter?,ray,Roman,117-128CE,Hadrian,12,,,32,,,,,"Foro de Itálica, Santiponce = Itálica (Santiponce, Vega del Guadalquivir (comarca)) 
Excavación, 1839-1840, Cortina y Roperto, Ivo de la","Male left hand holding a beam of lightning. It presents an excellent modeling in the anatomical details. The ray, similar to a skein knotted in the center, is related to the attribute of a divinity. White marble of good quality",,Religious,"Among the so-called ""disiecta membra"" of the Italician sculptural collection highlights this hand with beam rays for its excellent technical quality. The presence of this fulminating object has been put in relation with Jupiter, supreme god of the Roman pantheon. However, the compositional details refer to a deified figure of great size, following the iconographic model of ""Iuppiter Maximus"". Its technical characteristics and especially its naturalism allow dating it in the Adriaan period within the program of urban renewal developed by the emperor in the city","FERNÁNDEZ CHICARRO Y DE DIOS, Concepción; FERNÁNDEZ GÓMEZ, Fernando. \i1 Catálogo del Museo Arqueológico de Sevilla (II). Salas de Arqueologia Romana y Medieval.\i0 Madrid: Ministerio de Cultura, 1980. P. 65, nº 6. 

JIMÉNEZ SANCHO, Álvaro. ""Mano con rayo"". En: López Rodríguez, José Ramón (ed.); Beltrán Fortes, José (ed.). \i1 Itálica, Cien Años, Cien Piezas. Conmemoración del Centenario de la Declaración de las Ruinas de Itálica como Monumento Nacional.\i0 Sevilla: Junta de Andalucía. Consejería de Educación, Cultura y Deporte, 2014. P. 115, nº 46. 

LEÓN ALONSO, Pilar. \i1 Esculturas de Itálica.\i0 Sevilla: Empresa Pública de Gestión de Programas Culturales, 1995. P. 60-61, nº 12.",https://pleiades.stoa.org/places/256231,
Italica,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MASE&musid=17&ninv=CE02344&volver=portal&obje=&titu=&auto=&mate=&icon=&proc=italica&tipoBusqueda=avanzada&k=null&lng=es,Museo aruqeológico de Sevilla ,CE02344,sculpture,marble,sculpted,male,body,torso,Hadrian?,robe,Roman,117-128CE,Hadrian,105,54,39,,,,,,"Foro de Itálica, Santiponce = Itálica (Santiponce, Vega del Guadalquivir (comarca)) 
Excavación, 1839-1840, Cortina y Roperto, Ivo de la","This male torso, included in the type known as ""Shulterbauschtypus"" (cloak thrown over the shoulders) was placed in connection with sculptures of the emperor Hadrian preserved in Pergamum, Perge and Vaison-la-Romaine (Leon, 1995). The parallels with another colossal torso from the Adriaan period identified with Trajan, preserved in this Museum (CE00094), has allowed to attribute the piece to a representation of Adriano type Diomedes, according to a prototype of a statue created by Krésilas in the 5th century BC. C. The use of the Greek hero Diomedes united the Emperor with the idea of protection and prosperity of the Empire, presenting at the same time the symbolic fusion of Rome and Greece under the same aegis (Ojeda, 2006)",,Propaganda ,"This male torso, included in the type known as ""Shulterbauschtypus"" (cloak thrown over the shoulders) was placed in connection with sculptures of the emperor Hadrian preserved in Pergamum, Perge and Vaison-la-Romaine (Leon, 1995). The parallels with another colossal torso from the Adriaan period identified with Trajan, preserved in this Museum (CE00094), has allowed to attribute the piece to a representation of Adriano type Diomedes, according to a prototype of a statue created by Krésilas in the 5th century BC. C. The use of the Greek hero Diomedes united the Emperor with the idea of protection and prosperity of the Empire, presenting at the same time the symbolic fusion of Rome and Greece under the same aegis (Ojeda, 2006)","FERNÁNDEZ CHICARRO Y DE DIOS, Concepción; FERNÁNDEZ GÓMEZ, Fernando. \i1 Catálogo del Museo Arqueológico de Sevilla (II). Salas de Arqueologia Romana y Medieval.\i0 Madrid: Ministerio de Cultura, 1980. P. 53, nº 9. 

GARCÍA Y BELLIDO, Antonio. \i1 Esculturas romanas de España y Portugal.\i0 Madrid: CSIC, 1949. P. 180, nº 198, lám. 147. 

LEÓN ALONSO, Pilar. \i1 Esculturas de Itálica.\i0 Sevilla: Empresa Pública de Gestión de Programas Culturales, 1995. P. 52-53. 

LEÓN DEL RÍO, María Belén. \i1 Estudio de las técnicas escultóricas romanas. Colección del Museo Arqueológico de Sevilla.\i0 Sevilla: Fundación de Cultura Andaluza, 2005. P. 146, fig. 80. 

OJEDA NOGALES, David. ""Probable estatua de Adriano en tipo Diomedes"". En: López Rodríguez, José Ramón (ed.); Beltrán Fortes, José (ed.). \i1 Itálica, Cien Años, Cien Piezas. Conmemoración del Centenario de la Declaración de las Ruinas de Itálica como Monumento Nacional.\i0 Sevilla: Junta de Andalucía. Consejería de Educación, Cultura y Deporte, 2014. P. 99, nº 38. 

OJEDA NOGALES, David. ""Torso imperial de Itálica tipo Diomedes"". \i1 Anales de Prehistoria y Arqueología.\i0 2006, 22, p. 109-116.",https://pleiades.stoa.org/places/256231,
Italica,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MASE&musid=17&ninv=CE03953&volver=portal&obje=&titu=&auto=&mate=&icon=&proc=italica&tipoBusqueda=avanzada&k=null&lng=es,Museo aruqeológico de Sevilla ,CE03953,sculpture,serpentine,sculpted,male,body,legs,"Ra, Ammon, Ammon-Ra, Horus",skirt,Egician,700-500 BCE,Egipcian,"13,5","8,2",15,,,,"On the side faces of the throne
Hieroglyphic composition (Hwt [lines forming a right angle on the left side ='Posession'-of the temple or the palace as the residence of the divine ancestors-]
sm3 [horizontal band on the back ='The unification of the two countries']) [Source: Gamert-Wallert, 1998];",,"Foro de Itálica, Santiponce = Itálica (Santiponce, Vega del Guadalquivir (comarca)) 
Excavación, 1839-1840, Cortina y Roperto, Ivo de la","Bottom of an enthroned figure, dressed in pleated skirt close to the body. Trapezoidal throne, with low backrest, decorated on the sides with perimeter brackets that make up a composition of scales or feathers. From the preserved thing a character in a hieratic and frontal attitude is inferred, with the left arm resting on the thigh, where it maintains a recess",,votive offering ,"Figurine of Egyptian elaboration, with the representation of Ptah, Amón or Anubis, integrated into the cult area of the Italian amphitheater from the reuse of an original from the Nile Delta (Gamer-Wallert, 1998). Mélida in a letter sent to Gestoso in 1915, thought that it corresponded to a divinity of the New Kingdom, perhaps Ra, Ammon, Ammon-Ra or Horus (Beltrán, 2002, from a Gestoso manuscript conserved in the Capitular and Columbian Library of Seville). Its presence in the amphitheater must be related to processes of syncretism between the Egyptian cults and the divinities that were worshiped in the enclosure, perhaps Isis-Nemesis-Caelestis (Beltrán and Rodríguez, 2004)","BELTRÁN FORTES, José. ""Descubrimientos arqueológicos en el anfiteatro de Itálica en 1914"". \i1 Spal.\i0 2002, 11, p. 365-375. 

BELTRÁN FORTES, José; RODRÍGUEZ HIDALGO, José Manuel. \i1 Itálica. Espacios de culto en el anfiteatro.\i0 Sevilla: Universidad de Sevilla, 2004. P. 159-161, figs. 78-79. 

""Estatuilla egipcia"". En: López Rodríguez, José Ramón (ed.); Beltrán Fortes, José (ed.). \i1 Itálica, Cien Años, Cien Piezas. Conmemoración del Centenario de la Declaración de las Ruinas de Itálica como Monumento Nacional.\i0 Sevilla: Junta de Andalucía. Consejería de Educación, Cultura y Deporte, 2014. P. 105, nº 41. 

GAMER-WALLERT, Ingrid. ""Una deidad del antiguo Egipto en Itálica"". \i1 Revista de Arqueología.\i0 1998, 206, p. 6-9.",https://pleiades.stoa.org/places/256231,
Italica,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MASE&musid=17&ninv=DJ1990/16-06&volver=portal&obje=&titu=&auto=&mate=&icon=&proc=italica&tipoBusqueda=avanzada&k=null&lng=es,Museo aruqeológico de Sevilla ,DJ1990/16-06,sculpture,marble,sculpted,female,body,head,Isis priestess,,Roman,200-250 CE ,Severan dinasty,"16,5","13,6","14,8",,,,,,"Foro de Itálica, Santiponce = Itálica (Santiponce, Vega del Guadalquivir (comarca)) 
Excavación, 1839-1840, Cortina y Roperto, Ivo de la","Portrait of elderly woman, with wavy hair and wearing a veil. Realistic features, with prominent cheekbones, marked jaw, deep eyes and small mouth. The nose, partially mutilated, is wide. In the lobe of his right ear there is a hole that indicates that he was able to carry added earrings. Its proportion and fracture of the neck indicate that it must have been part of a complete statue, somewhat smaller than the natural one. The upper part is fractured, at the height of the forehead, and has numerous concretions and breaks throughout the surface. Coarse-grained marble, with exterior patina",,Religious,"This head was located in the Iseion of Itálica, next to six votive marble plates embedded in the floor of access to the temple, with the representation of footprints of foot (vestige), of which three conserved inscriptions dedicated to Isis and one to Bubastis. It has been identified as an isiacal priestess, due to the context of its finding and its features of old age, although some authors have questioned this identification because there are no iconographic features that make it possible to specify it. A recent analysis returns to her identification as an Isis priestess and relates it to a portrait located in the sanctuary of Diana Nemorensis in Nemi, in the Aricia ager, near Rome, by the type of headdress that both heads share, the Miter Lydia. The iconography of this element is related to activities of the daily cult, in which adortrices, estolistas and hieróstolas participate (those who looked after and dressed the images of the goddesses), although the cases of Itálica and Nemi seem to point to portraits of high priestesses range (Beltrán, 2015)","ÁLVAR EZQUERRA, Jaime. \i1 Los cultos egipcios en Hispania.\i0 Besançon: Presses universitaires de Franche-Comté, 2012. P. 76, nº 75. 

BELTRÁN FORTES, José. ""Isis en Itálica (Santiponce, Sevilla). A propósito de un retrato de sacerdotisa isíaca"". En: García Sanchez, Jorge (ed.); Mañas Romero, Irene (ed.); Salcedo Garcés, Fabiola (ed.). \i1 Navigare necesse est. Estudios en homenaje a José María Luzón.\i0 Madrid: Universidad Complutense, 2015. 

CORZO SÁNCHEZ, Ramón. ""El Teatro de Itálica"". \i1 Cuadernos de arquitectura romana.\i0 1993, 2, p. 157-171. P. 167. 

CORZO SÁNCHEZ, Ramón; TOSCANO SAN GIL, Margarita. \i1 Excavaciones en el Teatro de Itálica. Volumen III: 1990.\i0 Sevilla: Junta de Andalucía. Consejería de Cultura, 2003. P. 187-188. 

ORIA SEGURA, Mercedes. ""Sacerdotisas y devotas en la Hispania antigua: un acercamiento iconográfico"". \i1 Spal.\i0 2012, 21, p. 75-88. P. 82. 

RODRÍGUEZ GUTIÉRREZ, Oliva. \i1 El teatro romano de Itálica. Estudio arqueoarquitectónico.\i0 Madrid: Universidad Autónoma de Madrid, 2004. P. 540, E-6; - (Monografías de Arquitectura Romana; 6).",https://pleiades.stoa.org/places/256231,
Italica,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MASE&musid=17&ninv=CE00039&volver=portal&k=asido&tipoBusqueda=simple&lng=es,Museo aruqeológico de Sevilla ,CE00039,relief on corbel,marble,sculpted,female,arch,body,Victory ,tunic ,Roman,101-200 CE,Late Roman Empire,70,28,21,,,83 kg,,,"Foro de Itálica, Santiponce = Itálica (Santiponce, Vega del Guadalquivir (comarca)) 
Excavación, 1839-1840, Cortina y Roperto, Ivo de la","Quadrangular marble block with relief of female winged figure. It has volute side decoration. The figure is slightly disproportionate and the relief finish is quite flat. Good preservation, with slight chafing and loss of the right hand of the figure and the lower left",,Decorative,"This arch key was part of a monumental vain of honorific character. Similar pieces are documented in Colonia Patricia (Córdoba), Asido (Medina Sidonia) and in Malaca (Malaga) and have been linked, in some cases, with the construction of monumental arches commemorating the victories over the ""mauri"" during the reign of Marco Aurelio. Although the piece of Itálica is decontextualized, it could be part of the structure called tetrapylon, in the maximum thistle, next to the Traianeum, where I can exist a monumental arch with these characteristics (Jiménez, 2014)
","JIMÉNEZ SANCHO, Álvaro. ""Clave de arco triunfal"". En: López Rodríguez, José Ramón (ed.); Beltrán Fortes, José (ed.). \i1 Itálica, Cien Años, Cien Piezas. Conmemoración del Centenario de la Declaración de las Ruinas de Itálica como Monumento Nacional.\i0 Sevilla: Junta de Andalucía. Consejería de Educación, Cultura y Deporte, 2014. P. 141, nº 59. 

MÁRQUEZ MORENO, Carlos. ""Arcos honoríficos"". En: León Alonso, Pilar (coord.). \i1 Arte romano de la Bética. Escultura.\i0 Sevilla: Fundación Focus-Abengoa, 2009.
",https://pleiades.stoa.org/places/256231,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE05396&volver=busquedaSimple&k=italica&lng=es,Museo aruqeológico de Sevilla ,CE05396,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=ITA0135&volver=busquedaSimple&k=italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=ROD2082&volver=busquedaSimple&k=italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE00100&volver=busquedaSimple&k=Italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE00101&volver=busquedaSimple&k=Italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE00104&volver=busquedaSimple&k=Italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE00107&volver=busquedaSimple&k=Italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE00108&volver=busquedaSimple&k=Italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE11122&volver=busquedaSimple&k=Italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE00133&volver=busquedaSimple&k=Italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE00143-1&volver=busquedaSimple&k=Italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE00144-3&volver=busquedaSimple&k=italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE00145-2&volver=busquedaSimple&k=italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE00151&volver=busquedaSimple&k=italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE00157-1&volver=busquedaSimple&k=italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE00019&volver=busquedaSimple&k=italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE02374&volver=busquedaSimple&k=Italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE26003&volver=busquedaSimple&k=Italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE02908&volver=busquedaSimple&k=Italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE02958-01&volver=busquedaSimple&k=italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE03951&volver=busquedaSimple&k=italica&lng=es,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
,,,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,,
Italica,arachne.dainst.org/entity/1087760,,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256231,
Italica,arachne.dainst.org/entity/3121478,,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256231,
Italica,https://arachne.dainst.org/entity/1115892?fl=20&q=italica&resultIndex=25,,Museo aruqeológico de Sevilla ,,sculpture,marble,sculpted,female,body,body,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256231,
Itucci ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256232,
Iulia Traducta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256235,
Iulipa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256236,
La Coronela ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256065,
Lacca ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256247,
Lacilbula ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256107,
Lacimurga Constantia Iulia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256250,
"Lacipo, Lacippo ",,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MMA&musid=15&ninv=A/CE02480&volver=portal&k=lacipo&tipoBusqueda=simple&lng=es,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256252,
Lacunis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256253,
Laelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256254,
Laelia? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256254,
Laepia Regia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/260584,
